Dataset	Method	Local	Base	Novel	HM	CM
caltech101	baseline	98.4475	96.7592	93.8974	95.3068	96.8772
caltech101	TCVP-FedAdam	98.9450	97.1659	94.3668	95.7459	97.3454
dtd	baseline	92.2685	52.0949	59.4686	55.5381	73.9033
dtd	TCVP-FedAdam	93.0093	54.0046	58.1522	56.0017	74.5055
oxford_pets	baseline	98.3303	91.6108	97.0470	94.2506	96.2904
oxford_pets	TCVP-FedAdam	98.2821	90.4413	96.8009	93.5131	95.8976
oxford_flowers	baseline	98.7310	69.1928	71.0567	70.1124	84.4217
oxford_flowers	TCVP-FedAdam	98.6955	69.7626	72.7021	71.2020	84.9488
eurosat	baseline	49.3333	49.8810	54.7128	52.1853	50.7593
eurosat	TCVP-FedAdam	49.6822	53.5476	59.6205	56.4211	53.0517
