Dataset	Method	Local	Base	Novel	HM	CM
caltech101	baseline	98.4475	96.7592	93.8974	95.3068	96.8772
caltech101	TCVP-FedAdam-reg0001	98.8769	97.0755	94.9672	96.0098	97.4433
dtd	baseline	92.2685	52.0949	59.4686	55.5381	73.9033
dtd	TCVP-FedAdam-reg0001	90.5556	56.2037	58.9855	57.5610	74.0583
oxford_pets	baseline	98.3303	91.6108	97.0470	94.2506	96.2904
oxford_pets	TCVP-FedAdam-reg0001	98.3783	91.0845	96.7058	93.8110	96.0947
oxford_flowers	baseline	98.7310	69.1928	71.0567	70.1124	84.4217
oxford_flowers	TCVP-FedAdam-reg0001	98.5070	72.1937	71.6525	71.9221	85.2145
eurosat	baseline	49.3333	49.8810	54.7128	52.1853	50.7593
eurosat	TCVP-FedAdam-reg0001	49.1111	52.6595	53.9590	53.3013	51.2062
