Dataset	Method	Local	Base	Novel	HM	CM
caltech101	baseline	98.4475	96.7592	93.8974	95.3068	96.8772
caltech101	TCVP-localmeta	99.6615	92.3564	92.7948	92.5751	96.1183
dtd	baseline	92.2685	52.0949	59.4686	55.5381	73.9033
dtd	TCVP-localmeta	95.3704	30.6713	48.5266	37.5862	66.4783
oxford_pets	baseline	98.3303	91.6108	97.0470	94.2506	96.2904
oxford_pets	TCVP-localmeta	99.7468	73.8703	89.5526	80.9590	90.3529
oxford_flowers	baseline	98.7310	69.1928	71.0567	70.1124	84.4217
oxford_flowers	TCVP-localmeta	99.0560	46.9706	68.9716	55.8837	77.4698
eurosat	baseline	49.3333	49.8810	54.7128	52.1853	50.7593
eurosat	TCVP-localmeta	50.0000	33.9286	48.3846	39.8872	44.9436
