Dataset	Method	Local	Base	Novel	HM	CM
caltech101	baseline	98.4475	96.7592	93.8974	95.3068	96.8772
caltech101	TCVP-FedAdam-a03-h16-reg0001	98.8839	96.9852	94.6179	95.7869	97.3354
dtd	baseline	92.2685	52.0949	59.4686	55.5381	73.9033
dtd	TCVP-FedAdam-a03-h16-reg0001	90.5556	56.5046	60.5314	58.4487	74.5022
oxford_pets	baseline	98.3303	91.6108	97.0470	94.2506	96.2904
oxford_pets	TCVP-FedAdam-a03-h16-reg0001	98.1350	91.8501	96.8904	94.3029	96.2190
oxford_flowers	baseline	98.7310	69.1928	71.0567	70.1124	84.4217
oxford_flowers	TCVP-FedAdam-a03-h16-reg0001	98.6094	71.6524	73.3475	72.4900	85.5497
eurosat	baseline	49.3333	49.8810	54.7128	52.1853	50.7593
eurosat	TCVP-FedAdam-a03-h16-reg0001	49.4422	54.1405	50.3128	52.1565	50.7994
