Dataset	Method	Local	Base	Novel	HM	CM
caltech101	baseline	98.4475	96.7592	93.8974	95.3068	96.8772
caltech101	TCVP-FedAdam-a03-reg003	98.7682	97.1465	94.5633	95.8375	97.3028
dtd	baseline	92.2685	52.0949	59.4686	55.5381	73.9033
dtd	TCVP-FedAdam-a03-reg003	91.5741	55.1042	56.3043	55.6978	73.6359
oxford_pets	baseline	98.3303	91.6108	97.0470	94.2506	96.2904
oxford_pets	TCVP-FedAdam-a03-reg003	98.3316	91.3291	97.0022	94.0802	96.2059
oxford_flowers	baseline	98.7310	69.1928	71.0567	70.1124	84.4217
oxford_flowers	TCVP-FedAdam-a03-reg003	97.4142	72.0323	74.5816	73.2848	85.3495
eurosat	baseline	49.3333	49.8810	54.7128	52.1853	50.7593
eurosat	TCVP-FedAdam-a03-reg003	48.7778	53.3095	57.6590	55.3990	52.0884
